name,calories,proteins,fat,carbohydrate,porsi saji,Kalium,Fosfor,Natrium,status HD,kategori klinis,cairan
Cue Selar Kuning,145.0,27.0,2.3,0.0,100g,122.9,153.8,10.5,Batasi,Normal / Seimbang,69.2
Cuka,12.0,0.1,0.1,5.0,100g,36.1,29.2,7.6,Batasi,Rendah Kalium & Tinggi Cairan,93.3
Cumi-cumi goreng,265.0,40.6,10.1,0.0,100g,518.3,465.7,75.2,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Cumi-cumi segar,75.0,16.1,0.7,0.1,100g,363.0,257.2,60.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.6
Daging Anak Sapi,190.0,19.1,12.0,0.0,100g,374.8,278.6,70.7,Hindari,Tinggi Kalium & Tinggi Fosfor,67.4
Daging Asap,191.0,32.0,6.0,0.0,100g,431.2,385.5,70.7,Hindari,Tinggi Kalium & Tinggi Fosfor,60.5
Daging Babi Gemuk,457.0,11.6,45.0,0.0,100g,332.7,232.7,74.3,Hindari,Tinggi Kalium & Tinggi Fosfor,41.9
Daging Babi Kurus,376.0,14.1,35.0,0.0,100g,315.9,263.1,69.7,Hindari,Tinggi Kalium & Tinggi Fosfor,49.4
Daging Domba,206.0,17.1,14.8,0.0,100g,347.9,282.2,55.0,Hindari,Tinggi Kalium & Tinggi Fosfor,66.6
Daging Kambing,154.0,16.6,9.2,0.0,100g,369.8,272.3,60.8,Hindari,Tinggi Kalium & Tinggi Fosfor,72.7
Daging Kerbau,84.0,18.7,0.5,0.0,100g,383.8,281.8,53.7,Hindari,Tinggi Kalium & Tinggi Fosfor,79.3
Daging Kuda,118.0,18.1,4.1,0.9,100g,328.4,293.0,54.8,Hindari,Tinggi Kalium & Tinggi Fosfor,75.4
Daging Sapi,207.0,18.8,14.0,0.0,100g,398.5,266.0,78.6,Hindari,Tinggi Kalium & Tinggi Fosfor,65.7
Daun bangun-bangun segar,27.0,1.3,0.6,4.0,100g,137.3,30.5,6.9,Batasi,Tinggi Cairan,92.6
Daun Bawang,29.0,1.8,0.7,5.2,100g,141.0,32.9,10.2,Batasi,Tinggi Cairan,90.8
Daun bawang  merah segar,41.0,2.0,0.3,7.8,100g,140.7,34.6,7.3,Batasi,Tinggi Cairan,88.4
Daun bebuas segar,41.0,2.7,1.0,7.3,100g,138.1,38.4,4.6,Batasi,Tinggi Cairan,87.5
Daun belem segar,50.0,4.4,1.4,7.8,100g,123.2,47.8,8.3,Batasi,Tinggi Cairan,84.9
Daun Beluntas,42.0,1.8,0.5,9.4,100g,139.1,33.2,8.7,Batasi,Tinggi Cairan,86.8
Daun Cincau,122.0,6.0,1.0,26.0,100g,154.7,48.9,8.4,Batasi,Normal / Seimbang,65.5
Daun Gandaria,60.0,3.1,0.3,14.0,100g,135.1,40.6,4.6,Batasi,Tinggi Cairan,81.1
Daun gedi besar segar,58.0,2.9,0.7,10.0,200g,154.3,39.9,8.5,Batasi,Tinggi Cairan,84.9
Daun gelang segar,30.0,1.3,0.7,5.8,100g,148.8,37.5,10.0,Batasi,Tinggi Cairan,90.7
Daun gunda bali segar,50.0,4.6,0.9,7.0,100g,116.3,40.6,6.8,Batasi,Tinggi Cairan,86.0
Daun gunda serang segar,62.0,4.2,0.9,9.2,100g,141.4,46.0,6.5,Batasi,Tinggi Cairan,84.2
Daun Jambu Mete muda,73.0,4.6,0.5,16.2,100g,151.7,42.7,6.8,Batasi,Normal / Seimbang,77.2
Daun jampang segar,34.0,3.8,0.5,5.3,100g,119.5,38.4,5.3,Batasi,Tinggi Cairan,88.9
Daun jawaw seluang segar,93.0,5.0,1.3,15.3,100g,136.6,51.7,6.1,Batasi,Normal / Seimbang,76.9
Daun jonghe segar,27.0,2.1,0.7,4.4,100g,166.9,36.4,8.4,Batasi,Tinggi Cairan,91.3
Daun kacang ma segar,36.0,2.9,0.6,6.8,100g,427.5,253.7,12.7,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,88.2
Daun Kacang Panjang,34.0,4.1,0.4,5.8,100g,464.1,291.2,14.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,88.2
Daun Kacang Panjang kukus,40.0,3.7,0.3,8.0,100g,485.7,239.1,14.9,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,86.5
Daun kacang panjang segar,30.0,3.1,0.3,5.8,100g,495.3,235.4,22.2,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,89.3
Daun kasbi/singkong karet segar,92.0,4.0,3.6,10.9,100g,397.3,40.8,9.3,Hindari,Tinggi Kalium,80.0
Daun Katuk,59.0,4.8,1.0,11.0,100g,154.9,49.1,4.9,Batasi,Tinggi Cairan,81.7
Daun katuk rebus,53.0,5.3,0.9,9.1,100g,132.2,47.9,7.9,Batasi,Tinggi Cairan,83.2
Daun katuk segar,59.0,6.4,1.0,9.9,100g,149.3,54.5,5.3,Batasi,Tinggi Cairan,81.2
Daun Kecipir,47.0,5.0,0.5,8.5,100g,144.8,49.9,9.1,Batasi,Tinggi Cairan,84.5
Daun Kedondong,59.0,2.8,0.3,13.4,100g,159.0,40.9,8.9,Batasi,Tinggi Cairan,82.0
Daun Kelor,82.0,6.7,1.7,14.3,100g,146.3,48.5,8.9,Batasi,Normal / Seimbang,75.8
Daun Kelor rebus,61.0,6.1,0.9,10.0,100g,144.5,53.5,5.4,Batasi,Tinggi Cairan,81.5
Daun Kemangi,46.0,4.0,0.5,8.9,100g,127.7,47.2,7.9,Batasi,Tinggi Cairan,85.1
Daun kenikir segar,45.0,3.7,0.5,6.6,100g,146.1,41.8,8.1,Batasi,Tinggi Cairan,87.7
Daun kesum segar,48.0,4.5,0.8,9.1,200g,152.2,43.2,8.2,Batasi,Tinggi Cairan,84.1
Daun kol sawi segar,22.0,2.1,0.5,3.6,100g,128.8,32.7,7.4,Batasi,Tinggi Cairan,92.3
Daun Koro,23.0,3.0,0.3,3.7,100g,455.6,236.8,20.0,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,91.5
Daun kubis segar,51.0,2.5,1.1,8.0,100g,352.0,35.5,7.1,Hindari,Tinggi Kalium & Tinggi Cairan,86.9
Daun Kumak,14.0,1.3,0.3,2.3,100g,150.1,31.6,10.1,Batasi,Tinggi Cairan,94.6
Daun Labu Siam,60.0,4.0,0.4,4.7,100g,117.8,44.1,9.8,Batasi,Tinggi Cairan,89.4
Daun Labu Waluh,30.0,3.6,0.6,4.5,100g,136.4,45.5,7.0,Batasi,Tinggi Cairan,89.8
Daun lamtoro segar,87.0,8.3,1.8,14.4,100g,164.2,71.5,7.3,Batasi,Normal / Seimbang,74.0
Daun leilem segar,76.0,2.8,0.2,15.8,100g,143.6,43.4,11.2,Batasi,Normal / Seimbang,79.7
Daun Leunca,45.0,4.7,0.5,8.1,100g,133.4,44.5,7.4,Batasi,Tinggi Cairan,85.2
Daun Lobak,30.0,2.3,0.4,5.8,100g,120.8,31.7,6.0,Batasi,Tinggi Cairan,90.0
Daun Lompong Tales,40.0,3.0,0.8,7.4,200g,129.7,38.4,8.5,Batasi,Tinggi Cairan,87.3
Daun Mangkokan,54.0,3.7,0.3,11.8,100g,162.8,37.7,10.0,Batasi,Tinggi Cairan,82.7
Daun matel ambon segar,71.0,6.8,1.6,11.5,100g,141.2,55.4,9.3,Batasi,Normal / Seimbang,78.6
Daun Melinjo,99.0,5.0,1.3,21.3,100g,142.1,49.0,8.3,Aman,Normal / Seimbang,70.9
Daun Mengkudu Kukus,63.0,3.8,1.5,11.5,100g,393.0,43.3,12.9,Hindari,Tinggi Kalium & Tinggi Cairan,81.7
Daun ndusuk segar,166.0,1.7,0.5,38.8,100g,168.9,30.5,6.8,Batasi,Normal / Seimbang,57.5
Daun Oyong,22.0,1.0,0.1,5.3,100g,129.7,27.0,10.4,Batasi,Tinggi Cairan,92.1
Daun oyong segar,22.0,1.0,0.1,5.3,100g,153.4,27.2,6.3,Batasi,Tinggi Cairan,92.1
Daun Pakis,35.0,4.0,0.3,6.4,100g,143.3,40.8,9.3,Batasi,Tinggi Cairan,87.8
Daun pakis longgiho segar,54.0,2.2,3.6,3.1,100g,136.2,28.8,11.1,Batasi,Tinggi Cairan,89.6
Daun pakis segar,39.0,4.5,0.4,6.9,100g,159.8,42.8,7.2,Batasi,Tinggi Cairan,86.7
Daun pakis wambateu segar,53.0,3.4,1.2,7.2,100g,142.1,41.6,9.3,Batasi,Tinggi Cairan,86.7
Daun paku segar,29.0,3.4,0.1,6.5,100g,161.9,39.6,6.4,Batasi,Tinggi Cairan,88.5
Daun pangisegar,104.0,3.9,0.6,17.9,100g,134.9,39.6,7.9,Batasi,Normal / Seimbang,76.1
Daun pare segar,49.0,2.7,1.0,8.4,100g,161.6,35.1,8.4,Batasi,Tinggi Cairan,86.4
Daun pepaya segar,87.0,8.0,2.0,11.9,100g,381.0,65.8,13.1,Hindari,Tinggi Kalium,76.6
Daun Pete Cina,128.0,12.0,6.5,12.4,100g,138.5,77.0,10.1,Aman,Normal / Seimbang,67.6
Daun Poh-pohan,37.0,2.5,0.8,6.9,100g,146.5,43.6,9.2,Batasi,Tinggi Cairan,88.3
Daun salam  bubuk,301.0,14.2,10.9,49.0,100g,184.5,91.3,10.2,Batasi,Normal / Seimbang,24.4
Daun selasih segar,62.0,4.0,0.5,10.5,100g,152.4,45.0,10.1,Batasi,Tinggi Cairan,83.5
Daun Semanggi,45.0,4.4,8.0,0.5,100g,144.6,50.3,9.3,Batasi,Tinggi Cairan,85.6
Daun semanggi segar,45.0,4.4,0.5,8.5,100g,138.2,45.4,10.4,Batasi,Tinggi Cairan,85.1
Daun simpur segar,53.0,3.2,2.5,7.6,100g,129.3,40.9,7.2,Batasi,Tinggi Cairan,85.2
Daun singkil segar,68.0,2.0,1.0,15.2,100g,148.6,39.1,8.4,Batasi,Tinggi Cairan,80.3
Daun Singkong,73.0,6.8,1.2,13.0,100g,384.6,50.2,9.5,Hindari,Tinggi Kalium,77.5
Daun singkong ambon segar,144.0,12.7,1.2,25.2,100g,421.5,90.8,7.4,Hindari,Tinggi Kalium,59.4
Daun singkong ampenan segar,50.0,6.2,1.1,7.1,100g,378.3,53.9,11.2,Hindari,Tinggi Kalium & Tinggi Cairan,84.1
Daun singkong kopang segar,74.0,6.3,0.7,10.7,100g,376.9,54.5,9.2,Hindari,Tinggi Kalium & Tinggi Cairan,80.8
Daun Singkong lodeh,55.0,4.0,0.5,8.5,100g,380.0,41.2,8.4,Hindari,Tinggi Kalium & Tinggi Cairan,85.5
Daun Singkong rebus,31.0,3.7,0.6,4.8,100g,395.5,37.5,8.3,Hindari,Tinggi Kalium & Tinggi Cairan,89.4
Daun singkong segar,50.0,6.2,1.1,7.1,100g,355.3,57.7,5.0,Hindari,Tinggi Kalium & Tinggi Cairan,84.1
Daun Sintrong,36.0,2.6,0.9,6.1,100g,130.6,38.2,11.1,Batasi,Tinggi Cairan,88.9
Daun talas rebus,27.0,1.3,0.2,5.9,100g,369.0,28.6,11.8,Hindari,Tinggi Kalium & Tinggi Cairan,91.1
Daun talas segar,59.0,3.0,0.4,13.5,100g,348.1,29.7,8.9,Hindari,Tinggi Kalium & Tinggi Cairan,81.6
Daun Tales,71.0,4.1,2.1,12.3,200g,138.7,39.4,9.4,Batasi,Normal / Seimbang,80.0
Daun Tales rebus,27.0,1.3,0.2,5.9,200g,140.0,28.6,5.4,Batasi,Tinggi Cairan,91.1
Daun tespong segar,70.0,2.9,0.3,13.9,200g,157.1,40.7,7.8,Batasi,Tinggi Cairan,81.4
Daun Ubi Jalar,47.0,2.8,0.4,10.4,100g,424.9,33.3,4.9,Hindari,Tinggi Kalium & Tinggi Cairan,84.9
Daun Ubi Jalar kukus,56.0,3.1,0.3,13.0,100g,366.1,38.8,8.5,Hindari,Tinggi Kalium & Tinggi Cairan,82.1
Daun ubi kuning segar,62.0,3.7,0.3,11.1,100g,373.9,43.1,5.5,Hindari,Tinggi Kalium & Tinggi Cairan,83.4
Daun ubi merah kukus,56.0,3.1,0.3,13.0,100g,419.5,38.6,10.2,Hindari,Tinggi Kalium & Tinggi Cairan,82.1
Daun ubi merah segar,48.0,3.0,0.3,10.8,100g,388.0,40.3,9.1,Hindari,Tinggi Kalium & Tinggi Cairan,84.4
Daun ubi putih segar,46.0,2.8,0.2,8.2,100g,386.0,40.2,10.7,Hindari,Tinggi Kalium & Tinggi Cairan,87.3
Daun ubi tinta segar,55.0,1.7,0.1,11.9,100g,386.3,35.5,7.8,Hindari,Tinggi Kalium & Tinggi Cairan,84.8
Deblo ,260.0,2.0,15.0,53.0,100g,84.7,38.6,19.2,Aman,Rendah Kalium,28.5
Dendeng belut goreng,382.0,55.7,14.1,8.0,30g,565.5,681.6,634.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Dendeng Daging Sapi,433.0,55.0,9.0,0.0,30g,549.4,606.5,645.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,34.5
Dendeng mujahir goreng,598.0,74.3,26.9,9.2,30g,637.0,802.2,772.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,0.0
Dideh darah ayam,77.0,13.8,1.9,0.7,100g,334.9,253.5,55.7,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,82.1
Dideh darah sapi,104.0,21.9,1.1,0.0,100g,410.5,324.8,63.2,Hindari,Tinggi Kalium & Tinggi Fosfor,75.5
Djibokum masakan,248.0,10.0,2.3,40.9,100g,96.6,81.7,3.8,Aman,Rendah Kalium,45.3
Dodol,395.0,3.0,5.7,81.2,100g,86.0,43.0,8.0,Aman,Rendah Kalium,8.6
Dodol bali,298.0,3.7,2.1,65.9,100g,82.1,66.0,14.6,Aman,Rendah Kalium,26.8
Dodol banjarmasin,368.0,2.6,8.6,70.0,100g,77.5,162.8,778.6,Hindari,Rendah Kalium & Tinggi Natrium,17.3
Dodol galamai,348.0,0.4,3.8,76.1,100g,71.7,42.4,13.6,Aman,Rendah Kalium,18.2
Dodol kedondong,331.0,1.9,7.6,63.8,100g,84.3,48.6,16.2,Aman,Rendah Kalium,25.2
Dodol manado,373.0,4.3,16.5,51.9,100g,76.5,64.9,12.8,Aman,Rendah Kalium,25.8
Dodonkol ,17.5,3.3,2.3,39.5,100g,89.0,44.3,18.9,Aman,Rendah Kalium,53.4
Domba daging gemuk segar,317.0,15.7,27.7,0.0,100g,350.3,259.9,61.1,Hindari,Tinggi Kalium & Tinggi Fosfor,55.1
Domba daging kurus  segar,202.0,17.1,14.8,0.0,100g,347.6,283.3,69.2,Hindari,Tinggi Kalium & Tinggi Fosfor,66.6
Domba ginjal segar,100.0,16.6,3.3,1.0,100g,98.9,109.5,20.6,Batasi,Rendah Kalium,77.6
Duku,63.0,1.0,0.2,16.1,100g,68.8,43.0,12.2,Batasi,Rendah Kalium & Tinggi Cairan,81.2
Durian,134.0,2.5,3.0,28.0,100g,362.6,20.1,1.2,Hindari,Tinggi Kalium,65.0
Duwet segar,80.0,0.5,0.6,18.2,100g,52.0,23.9,13.6,Batasi,Rendah Kalium,79.2
Eceng Gondok,18.0,1.0,0.2,3.8,100g,55.2,35.6,18.3,Batasi,Rendah Kalium & Tinggi Cairan,93.5
Embacang,98.0,1.4,0.2,25.4,100g,50.3,29.6,12.9,Aman,Rendah Kalium,71.5
Empal (daging) Goreng masakan,248.0,36.2,6.9,10.1,100g,480.0,441.7,61.3,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Empal Goreng,590.0,18.5,57.0,0.0,100g,383.3,288.3,63.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Emping (kerupuk melinjo),345.0,12.0,1.5,71.5,30g,122.7,238.7,832.9,Hindari,Tinggi Fosfor & Tinggi Natrium,8.0
Emping beras,403.0,10.6,2.2,85.3,100g,111.2,85.9,14.0,Aman,Normal / Seimbang,0.4
Emping komak,355.0,17.8,4.6,60.7,100g,133.7,110.7,9.3,Batasi,Normal / Seimbang,15.4
Encung asam segar,122.0,3.5,4.5,17.5,100g,64.0,60.1,14.2,Aman,Rendah Kalium,73.0
Enting-enting gepuk hello kity,538.0,13.6,30.3,52.6,100g,110.7,102.4,1.0,Batasi,Normal / Seimbang,2.0
Enting-enting gepuk kacang tanah,524.0,13.3,29.2,52.0,100g,581.7,300.3,13.6,Hindari,Tinggi Kalium & Tinggi Fosfor,4.0
Enting-enting wijen,565.0,18.2,38.4,36.8,100g,574.0,346.2,19.6,Hindari,Tinggi Kalium & Tinggi Fosfor,5.1
Erbis,70.0,0.6,0.0,18.9,100g,50.9,40.5,11.8,Batasi,Rendah Kalium,79.0
Es krim,210.0,4.0,12.5,20.6,200g,71.1,53.6,6.9,Aman,Rendah Kalium,61.4
Es Krim (Coconut milk) ,156.7,3.0,1.7,32.7,200g,76.6,44.5,5.8,Aman,Rendah Kalium,61.1
Es Mambo ,152.0,0.0,0.0,37.6,200g,56.6,47.0,15.4,Aman,Rendah Kalium,60.9
Es Sirup ,44.8,0.0,0.0,11.3,200g,46.7,32.2,10.7,Batasi,Rendah Kalium & Tinggi Cairan,87.2
Fillet o-fish,270.0,12.3,15.9,19.3,100g,112.4,93.4,13.7,Aman,Normal / Seimbang,51.0
Gadeng/Gadung kering,322.0,2.4,0.6,76.6,100g,234.3,36.8,7.5,Batasi,Normal / Seimbang,8.0
Gado-gado,137.0,6.1,3.2,21.0,100g,73.2,61.9,11.9,Aman,Rendah Kalium,68.2
Gadung kukus,88.0,0.8,0.3,20.9,100g,163.8,28.8,9.5,Batasi,Normal / Seimbang,76.5
Gadung mentah,101.0,2.1,0.2,23.2,100g,156.9,34.8,4.0,Batasi,Normal / Seimbang,73.0
Gadung ubi kukus,88.0,0.6,0.3,20.9,100g,420.5,29.1,10.0,Hindari,Tinggi Kalium,76.7
Gadung ubi segar,100.0,0.9,0.3,23.5,100g,329.9,37.4,7.7,Hindari,Tinggi Kalium,73.8
Gambas (Oyong),18.0,0.8,0.2,4.1,100g,58.3,30.3,14.5,Batasi,Rendah Kalium & Tinggi Cairan,93.4
Gambas lodeh,13.0,0.3,0.6,1.6,100g,38.3,31.4,19.7,Batasi,Rendah Kalium & Tinggi Cairan,96.0
Gandaria,68.0,0.7,0.1,18.0,100g,53.1,39.9,15.5,Batasi,Rendah Kalium,79.7
Ganyong kukus,100.0,0.8,0.2,23.8,100g,164.5,29.2,8.7,Batasi,Normal / Seimbang,73.7
Ganyong mentah,95.0,1.0,0.1,22.6,100g,186.0,29.3,8.4,Batasi,Normal / Seimbang,74.8
Ganyong rebus,100.0,0.8,0.2,23.8,100g,171.2,33.0,10.4,Batasi,Normal / Seimbang,73.7
Ganyong segar,77.0,0.6,0.2,18.4,100g,159.7,23.1,11.3,Batasi,Normal / Seimbang,79.3
Gaplek,338.0,1.5,0.7,81.3,100g,73.6,44.2,9.0,Aman,Rendah Kalium,15.0
Gatep segar,191.0,4.5,1.5,39.7,100g,76.1,57.9,13.3,Aman,Rendah Kalium,52.8
Gatot,347.0,1.3,0.7,83.8,100g,86.4,53.8,13.8,Aman,Rendah Kalium,12.7
Geblek,195.0,0.4,1.7,44.4,100g,62.2,44.5,16.8,Aman,Rendah Kalium,52.0
Gelatine,389.0,0.0,0.0,91.0,100g,71.6,39.8,14.8,Aman,Rendah Kalium,7.5
Gembili,95.0,1.5,0.1,22.4,100g,56.8,52.8,11.4,Aman,Rendah Kalium,74.5
Gembili ubi segar,131.0,1.1,0.2,31.3,100g,419.5,29.3,8.0,Hindari,Tinggi Kalium,65.9
Gemblong,274.0,1.7,5.4,55.5,100g,64.4,31.1,18.4,Aman,Rendah Kalium,35.9
Gendar goreng,407.0,6.4,28.2,32.0,100g,73.4,55.9,3.4,Aman,Rendah Kalium,8.0
Genjer segar,35.0,1.7,0.2,7.7,100g,48.9,32.1,18.6,Batasi,Rendah Kalium & Tinggi Cairan,88.9
Geplak,350.0,1.4,14.4,53.6,100g,79.4,35.8,21.0,Aman,Rendah Kalium,29.1
Geplak jahe,462.0,3.1,24.4,57.7,100g,86.8,46.4,2.0,Aman,Rendah Kalium,13.3
Gete kuah asam masakan,75.0,8.2,2.0,6.0,200g,94.4,60.8,5.4,Batasi,Rendah Kalium & Tinggi Cairan,82.3
Getuk goreng,360.0,1.3,6.4,74.3,100g,87.5,60.4,17.5,Aman,Rendah Kalium,8.0
Getuk Lindri ,171.4,4.0,4.0,32.0,100g,76.3,57.8,15.4,Aman,Rendah Kalium,58.5
Getuk pisang,144.0,1.1,0.4,34.1,100g,378.9,15.6,2.1,Hindari,Tinggi Kalium,62.9
Getuk singkong,204.0,0.5,1.4,47.4,100g,443.8,24.2,7.4,Hindari,Tinggi Kalium,49.2
Ginjal Babi,114.0,16.3,4.6,0.8,100g,315.8,271.1,57.1,Hindari,Tinggi Kalium & Tinggi Fosfor,76.8
Ginjal Domba,105.0,16.6,3.3,1.0,100g,94.7,111.1,17.6,Batasi,Rendah Kalium,77.6
Ginjal Sapi,141.0,15.0,8.1,0.9,100g,360.9,243.7,57.1,Hindari,Tinggi Kalium & Tinggi Fosfor,74.5
Gudeg ,53.0,1.6,1.6,8.8,100g,61.6,34.3,11.1,Batasi,Rendah Kalium & Tinggi Cairan,86.5
Gudeg sayur,160.0,3.3,9.2,16.0,100g,155.8,36.0,8.2,Batasi,Normal / Seimbang,70.0
Gula Aren,368.0,0.0,0.0,95.0,100g,72.3,30.2,13.3,Aman,Rendah Kalium,3.5
Gula Kelapa,386.0,3.0,10.0,76.0,100g,389.7,20.8,2.0,Hindari,Tinggi Kalium,8.0
Gula Merah Tebu belum dimurnikan,356.0,0.4,0.5,90.6,100g,273.2,155.7,75.9,Batasi,Normal / Seimbang,7.0
Gula putih,394.0,0.0,0.0,94.0,100g,83.6,31.6,12.5,Aman,Rendah Kalium,4.5
Gulai asam keueung masakan,52.0,10.0,0.5,1.8,100g,85.1,80.4,12.2,Aman,Rendah Kalium,8.0
Gulai ikan masakan,106.0,16.5,3.3,2.5,100g,336.7,265.8,53.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Gulai ikan paya masakan,148.0,10.0,9.8,5.0,100g,350.0,210.1,59.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Gulai kambing,126.0,4.2,9.4,6.2,100g,268.7,192.2,62.6,Batasi,Normal / Seimbang,8.0
Gulai keumamah masakan,110.0,5.9,8.2,3.2,100g,76.9,56.2,13.1,Aman,Rendah Kalium,8.0
Gulai pakis,143.0,4.0,11.4,6.0,100g,54.7,70.2,7.2,Aman,Rendah Kalium,8.0
Gulai pliek,176.0,7.3,14.9,3.2,100g,74.3,72.9,13.7,Aman,Rendah Kalium,8.0
Gulai tiram masakan,132.0,9.0,7.2,7.8,100g,78.1,74.5,12.2,Aman,Rendah Kalium,8.0
Gurame asem manis masakan,192.0,12.7,10.1,12.7,100g,93.4,99.9,20.8,Aman,Rendah Kalium,63.0
Gurandil,218.0,0.5,2.5,48.5,100g,61.7,26.3,11.6,Aman,Rendah Kalium,47.0
Ham,389.0,16.9,35.0,0.3,100g,124.9,104.6,18.6,Batasi,Normal / Seimbang,46.3
Hangop,65.0,10.0,1.0,3.5,100g,94.8,75.6,14.3,Batasi,Rendah Kalium & Tinggi Cairan,84.0
Hati Babi,134.0,19.7,4.8,1.7,100g,400.9,293.2,63.4,Hindari,Tinggi Kalium & Tinggi Fosfor,72.3
Hati Sapi,136.0,19.7,3.2,6.0,100g,356.7,285.6,59.8,Hindari,Tinggi Kalium & Tinggi Fosfor,69.6
Havermout,390.0,14.2,7.4,68.2,100g,112.2,99.2,8.9,Aman,Normal / Seimbang,8.7
Hofa/Ubi hutan segar,127.0,1.2,0.5,29.5,100g,418.9,24.2,8.7,Hindari,Tinggi Kalium,67.3
Ikan asar merah masakan,146.0,17.7,5.9,5.6,100g,374.0,258.8,68.0,Hindari,Tinggi Kalium & Tinggi Fosfor,69.3
Ikan Asin bilis goreng,380.0,33.6,27.5,0.0,100g,469.4,479.9,778.7,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin gabus goreng,456.0,46.5,24.4,0.0,100g,514.6,592.4,780.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin japuh goreng,348.0,18.7,29.5,0.0,100g,366.2,364.9,605.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin kering,193.0,42.0,1.5,0.0,100g,515.7,580.2,588.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin pari goreng,430.0,58.2,23.6,0.0,100g,604.4,703.0,780.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin pepetek goreng,652.0,40.4,54.3,0.0,100g,476.0,588.5,798.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,3.8
Ikan Asin sirinding goreng,319.0,6.9,31.7,0.0,100g,282.2,268.2,761.3,Hindari,Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Asin teri goreng,430.0,33.4,32.4,0.0,100g,400.6,536.1,734.2,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,8.0
Ikan Bader (Tawes),198.0,19.0,13.0,0.0,200g,366.1,291.3,72.4,Hindari,Tinggi Kalium & Tinggi Fosfor,66.5
Ikan balong segar,107.0,16.5,3.9,1.5,100g,344.9,277.0,67.6,Hindari,Tinggi Kalium & Tinggi Fosfor,76.6
Ikan bambangan segar,112.0,20.0,1.3,3.7,100g,356.6,311.9,63.6,Hindari,Tinggi Kalium & Tinggi Fosfor,73.5
Ikan Bandeng,129.0,20.0,4.8,0.0,100g,354.9,306.4,57.8,Hindari,Tinggi Kalium & Tinggi Fosfor,73.7
Ikan bandeng presto masakan,296.0,17.1,20.3,11.3,200g,354.6,278.1,73.7,Hindari,Tinggi Kalium & Tinggi Fosfor,49.8
Ikan banjar segar,111.0,19.4,0.9,4.8,100g,376.2,295.2,71.5,Hindari,Tinggi Kalium & Tinggi Fosfor,73.4
Ikan baronang segar,78.0,14.5,0.6,3.7,100g,367.6,265.4,65.1,Hindari,Tinggi Kalium & Tinggi Fosfor,79.7
Ikan baung bakar,144.0,17.8,5.8,5.2,100g,331.7,270.7,62.6,Hindari,Tinggi Kalium & Tinggi Fosfor,69.7
Ikan baung segar,123.0,15.1,5.5,3.3,100g,330.9,261.0,65.5,Hindari,Tinggi Kalium & Tinggi Fosfor,74.6
Ikan Bawal,96.0,19.0,1.7,0.0,100g,375.1,291.7,68.9,Hindari,Tinggi Kalium & Tinggi Fosfor,77.8
Ikan Bekasang,138.0,14.0,0.7,7.4,100g,338.3,231.3,57.5,Hindari,Tinggi Kalium & Tinggi Fosfor,76.4
Ikan Belida bakar,128.0,18.0,3.0,7.2,100g,356.1,270.5,69.8,Hindari,Tinggi Kalium & Tinggi Fosfor,70.3
Ikan Belida segar,80.0,14.7,1.4,2.2,100g,371.5,274.9,63.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,80.2
Ikan Belut Segar goreng,417.0,25.9,19.4,32.0,100g,432.3,346.0,62.3,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Belut Segar mentah,82.0,6.7,1.0,10.9,100g,284.6,196.6,61.9,Batasi,Normal / Seimbang,79.9
Ikan Beunteur,66.0,14.0,0.0,0.0,100g,340.4,256.9,65.0,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,84.5
Ikan biawan segar,90.0,14.9,2.5,2.1,100g,350.7,276.0,72.6,Hindari,Tinggi Kalium & Tinggi Fosfor,79.0
